true_class,model,support,correct,errors,class_accuracy_recall,error_rate
negative,Rule-based,63,21,42,0.3333333333333333,0.6666666666666666
negative,TF-IDF + Logistic Regression,63,30,33,0.47619047619047616,0.5238095238095238
negative,Finance BERT,63,57,6,0.9047619047619048,0.09523809523809523
neutral,Rule-based,322,289,33,0.8975155279503105,0.10248447204968944
neutral,TF-IDF + Logistic Regression,322,317,5,0.984472049689441,0.015527950310559006
neutral,Finance BERT,322,304,18,0.9440993788819876,0.055900621118012424
positive,Rule-based,133,26,107,0.19548872180451127,0.8045112781954887
positive,TF-IDF + Logistic Regression,133,77,56,0.5789473684210527,0.42105263157894735
positive,Finance BERT,133,122,11,0.9172932330827067,0.08270676691729323
